FID;date;species;n;X;Y
56;29-8-2005 0:00:00;Clupea harengus;3;60113.800000000003000;440907.000000000000000
57;31-8-2005 0:00:00;Clupea harengus;4;57464.699999999997000;430238.000000000000000
58;1-9-2005 0:00:00;Clupea harengus;2;59995.500000000000000;434677.000000000000000
59;5-9-2005 0:00:00;Clupea harengus;1;20398.299999999999000;411989.000000000000000
60;15-5-2007 0:00:00;Clupea harengus;2;55046.599999999999000;433383.000000000000000
61;24-5-2007 0:00:00;Clupea harengus;3;52022.800000000003000;433108.000000000000000
62;24-5-2007 0:00:00;Clupea harengus;1;55108.400000000001000;439335.000000000000000
63;24-5-2007 0:00:00;Clupea harengus;1;55289.599999999999000;442693.000000000000000
64;24-5-2007 0:00:00;Clupea harengus;2;57048.900000000001000;436701.000000000000000
65;24-5-2007 0:00:00;Clupea harengus;4;58921.099999999999000;440393.000000000000000
66;24-5-2007 0:00:00;Clupea harengus;5;60122.099999999999000;441524.000000000000000
67;25-5-2007 0:00:00;Clupea harengus;3;52689.400000000001000;432629.000000000000000
68;25-5-2007 0:00:00;Clupea harengus;6;53323.699999999997000;429840.000000000000000
69;25-5-2007 0:00:00;Clupea harengus;5;53698.500000000000000;430989.000000000000000
70;25-5-2007 0:00:00;Clupea harengus;7;55118.199999999997000;428927.000000000000000
71;25-5-2007 0:00:00;Clupea harengus;7;56122.300000000003000;429541.000000000000000
72;25-5-2007 0:00:00;Clupea harengus;6;57810.199999999997000;430357.000000000000000
73;30-5-2007 0:00:00;Clupea harengus;1;36252.199999999997000;422360.000000000000000
74;30-5-2007 0:00:00;Clupea harengus;3;36965.500000000000000;421957.000000000000000
75;30-5-2007 0:00:00;Clupea harengus;3;37794.800000000003000;425180.000000000000000
76;31-5-2007 0:00:00;Clupea harengus;1;19156.299999999999000;406984.000000000000000
77;31-5-2007 0:00:00;Clupea harengus;4;19224.500000000000000;405222.000000000000000
78;31-5-2007 0:00:00;Clupea harengus;4;19918.799999999999000;402249.000000000000000
79;1-6-2007 0:00:00;Clupea harengus;6;25268.700000000001000;410353.000000000000000
80;1-6-2007 0:00:00;Clupea harengus;3;25291.700000000001000;406621.000000000000000
81;1-6-2007 0:00:00;Clupea harengus;1;26461.200000000001000;410649.000000000000000
82;1-6-2007 0:00:00;Clupea harengus;3;28125.900000000001000;407309.000000000000000
83;1-6-2007 0:00:00;Clupea harengus;2;34266.300000000003000;407369.000000000000000
84;1-6-2007 0:00:00;Clupea harengus;2;35861.500000000000000;406805.000000000000000
85;1-6-2007 0:00:00;Clupea harengus;4;36235.900000000001000;408294.000000000000000
86;20-8-2007 0:00:00;Clupea harengus;11;53548.699999999997000;435360.000000000000000
87;20-8-2007 0:00:00;Clupea harengus;7;54712.199999999997000;434466.000000000000000
88;20-8-2007 0:00:00;Clupea harengus;7;55241.800000000003000;433398.000000000000000
89;20-8-2007 0:00:00;Clupea harengus;1;56028.199999999997000;438334.000000000000000
90;20-8-2007 0:00:00;Clupea harengus;6;57869.199999999997000;440413.000000000000000
91;20-8-2007 0:00:00;Clupea harengus;4;58029.099999999999000;443933.000000000000000
92;21-8-2007 0:00:00;Clupea harengus;8;51746.400000000001000;433097.000000000000000
93;21-8-2007 0:00:00;Clupea harengus;8;51915.099999999999000;431257.000000000000000
94;21-8-2007 0:00:00;Clupea harengus;10;52129.500000000000000;434981.000000000000000
95;21-8-2007 0:00:00;Clupea harengus;9;54750.199999999997000;439212.000000000000000
96;21-8-2007 0:00:00;Clupea harengus;1;55706.199999999997000;444628.000000000000000
97;23-8-2007 0:00:00;Clupea harengus;5;56073.400000000001000;429579.000000000000000
98;23-8-2007 0:00:00;Clupea harengus;7;57096.599999999999000;437237.000000000000000
99;23-8-2007 0:00:00;Clupea harengus;9;57263.900000000001000;441704.000000000000000
100;23-8-2007 0:00:00;Clupea harengus;10;59443.099999999999000;430986.000000000000000
101;24-8-2007 0:00:00;Clupea harengus;6;55406.400000000001000;429208.000000000000000
102;24-8-2007 0:00:00;Clupea harengus;8;56708.900000000001000;437714.000000000000000
103;24-8-2007 0:00:00;Clupea harengus;6;59254.000000000000000;439569.000000000000000
104;24-8-2007 0:00:00;Clupea harengus;4;59673.500000000000000;440175.000000000000000
105;24-8-2007 0:00:00;Clupea harengus;4;59910.800000000003000;441909.000000000000000
106;24-8-2007 0:00:00;Clupea harengus;8;60143.000000000000000;441537.000000000000000
107;5-9-2007 0:00:00;Clupea harengus;1;16011.299999999999000;407296.000000000000000
108;5-9-2007 0:00:00;Clupea harengus;5;24347.700000000001000;415929.000000000000000
